,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
26,Russia,"2,777",+440,24,+7,190,"2,563",8,19,0.2
27,Ecuador,"2,758",+456,98,+19,58,"2,602",100,156,6
28,Poland,"2,554",+243,43,+10,56,"2,455",50,67,1
29,Romania,"2,460",+215,92,+10,252,"2,116",57,128,5
30,Japan,"2,384",+206,57,,472,"1,855",69,19,0.5
31,Luxembourg,"2,319",+141,29,+6,80,"2,210",31,"3,705",46
32,Philippines,"2,311",+227,96,+8,50,"2,165",1,21,0.9
33,Pakistan,"2,118",+180,27,+1,94,"1,997",12,10,0.1
34,India,"1,998",+601,58,+23,148,"1,792",,1,0.04
35,Thailand,"1,771",+120,12,+2,505,"1,254",23,25,0.2
36,Saudi Arabia,"1,720",+157,16,+6,264,"1,440",31,49,0.5
37,Indonesia,"1,677",+149,157,+21,103,"1,417",,6,0.6
38,Finland,"1,446",+28,17,,10,"1,419",62,261,3
39,Greece,"1,415",+101,51,+2,52,"1,312",90,136,5
40,South Africa,"1,380",+27,5,,50,"1,325",7,23,0.08
41,Peru,"1,323",+258,38,+8,394,891,49,40,1
42,Panama,"1,317",+136,32,+2,9,"1,276",50,305,7
43,Dominican Republic,"1,284",+175,57,+6,9,"1,218",,118,5
44,Iceland,"1,220",+85,2,,236,982,12,"3,575",6
45,Mexico,"1,215",+121,29,+1,35,"1,151",1,9,0.2
46,Argentina,"1,133",+79,32,+5,248,853,,25,0.7
47,Colombia,"1,065",+159,17,+1,39,"1,009",47,21,0.3
48,Serbia,"1,060",+160,28,+5,42,990,62,121,3
49,Singapore,"1,000",+74,3,,245,752,24,171,0.5
50,Croatia,963,+96,6,,73,884,34,235,1
51,Algeria,847,+131,58,+14,61,728,,19,1
52,Slovenia,841,+39,15,,10,816,31,405,7
53,Qatar,835,+54,2,,71,762,37,290,0.7
54,UAE,814,+150,8,+2,61,745,2,82,0.8
55,Ukraine,794,+149,20,+3,13,761,,18,0.5
56,Egypt,779,+69,52,+6,179,548,,8,0.5
57,Estonia,779,+34,5,+1,33,741,15,587,4
58,Hong Kong,766,+51,4,,147,615,5,102,0.5
59,Iraq,728,+34,52,+2,182,494,,18,1
60,Diamond Princess,712,,11,,603,98,15,,
61,New Zealand,708,+61,1,,83,624,2,147,0.2
62,Morocco,654,+37,39,+3,29,586,1,18,1
63,Lithuania,581,+44,8,,7,566,11,213,3
64,Armenia,571,+39,4,+1,31,536,30,193,1
65,Bahrain,569,+2,4,,337,228,3,334,2
66,Hungary,525,+33,20,+4,40,465,17,54,2
67,Lebanon,479,+16,14,+2,43,422,5,70,2
68,Bosnia and Herzegovina,459,+39,13,,19,427,1,140,4
69,Latvia,446,+48,,,1,445,3,236,
70,Tunisia,423,+29,12,+2,5,406,10,36,1
71,Moldova,423,+70,5,+1,23,395,44,105,1
72,Bulgaria,422,+23,10,+2,20,392,18,61,1
73,Slovakia,400,+37,1,+1,3,396,1,73,0.2
74,Andorra,390,+14,14,+2,10,366,12,"5,048",181
75,Kazakhstan,380,+37,3,+1,26,351,6,20,0.2
76,Costa Rica,375,+28,2,,4,369,9,74,0.4
77,Azerbaijan,359,+61,5,,26,328,7,35,0.5
78,North Macedonia,354,+25,11,+2,17,326,4,170,5
79,Uruguay,350,+12,2,+1,62,286,15,101,0.6
80,Taiwan,329,+7,5,,45,279,,14,0.2
81,Cyprus,320,+58,9,+1,28,283,11,265,7
82,Kuwait,317,+28,,,80,237,14,74,
83,Burkina Faso,282,+21,16,+2,46,220,,13,0.8
84,Réunion,281,+34,,,40,241,3,314,
85,Jordan,278,+4,5,,36,237,5,27,0.5
86,Albania,259,+16,15,,67,177,7,90,5
87,Afghanistan,237,+63,4,,5,228,,6,0.1
88,San Marino,236,,28,+2,13,195,16,"6,955",825
89,Cameroon,233,+40,6,,10,217,,9,0.2
90,Vietnam,218,+6,,,63,155,3,2,
91,Cuba,212,+26,6,,12,194,3,19,0.5
92,Oman,210,+18,1,,34,175,3,41,0.2
93,Ghana,195,+34,5,,31,159,1,6,0.2
94,Ivory Coast,190,+11,1,,9,180,,7,0.04
95,Senegal,190,+15,1,+1,45,144,,11,0.06
96,Malta,188,+19,,,2,186,2,426,
97,Uzbekistan,181,+9,2,,12,167,8,5,0.06
98,Nigeria,174,+39,2,,9,163,,0.8,0.01
99,Faeroe Islands,173,+4,,,75,98,1,"3,541",
100,Honduras,172,+31,10,+3,3,159,4,17,1
101,Channel Islands,172,+31,3,,,169,,989,17
102,Belarus,163,+11,2,+1,53,108,2,17,0.2
103,Mauritius,161,+18,6,+1,,155,1,127,5
104,Sri Lanka,146,+3,3,+1,21,122,5,7,0.1
105,Venezuela,144,+9,3,,43,98,6,5,0.1
106,Martinique,135,+7,3,,27,105,16,360,8
107,Palestine,134,+15,1,,18,115,,26,0.2
108,Brunei,131,+2,1,,52,78,3,299,2
109,Guadeloupe,125,+11,6,+2,24,95,14,312,15
110,Montenegro,123,+14,2,,,121,4,196,3
111,Georgia,117,+7,,,23,94,6,29,
112,Bolivia,115,+8,7,+1,1,107,3,10,0.6
113,Kyrgyzstan,111,+4,,,3,108,3,17,
114,DRC,109,+11,9,+1,3,97,,1,0.1
115,Cambodia,109,,,,25,84,1,7,
116,Mayotte,101,+7,1,,10,90,3,370,4
117,Trinidad and Tobago,90,+3,5,+2,1,84,,64,4
118,Rwanda,82,+7,,,,82,,6,
119,Kenya,81,+22,1,,3,77,2,2,0.02
120,Gibraltar,81,+12,,,34,47,,"2,404",
121,Niger,74,+40,5,+2,,69,,3,0.2
122,Liechtenstein,72,+4,,,,72,,"1,888",
123,Paraguay,69,+4,3,,1,65,4,10,0.4
124,Isle of Man,68,+8,1,+1,,67,,800,12
125,Madagascar,57,,,,,57,6,2,
126,Monaco,55,+3,1,,2,52,2,"1,402",25
127,Aruba,55,,,,1,54,,515,
128,Bangladesh,54,+3,6,+1,25,23,1,0.3,0.04
129,French Guiana,51,,,,15,36,,171,
130,Barbados,45,+11,,,,45,,157,
131,Jamaica,44,+6,3,+1,2,39,,15,1
132,Uganda,44,,,,,44,,1.0,
133,Macao,41,,,,10,31,,63,
134,Guatemala,39,+1,1,,12,26,1,2,0.06
135,French Polynesia,37,,,,,37,1,132,
136,Togo,36,+2,2,+1,10,24,,4,0.2
137,Zambia,36,,,,,36,,2,
138,El Salvador,33,+1,2,+1,,31,4,5,0.3
139,Djibouti,33,+3,,,,33,,33,
140,Bermuda,32,,,,10,22,,514,
141,Mali,31,+3,3,+1,,28,,2,0.1
142,Guinea,30,+8,,,,30,,2,
143,Ethiopia,29,+3,,,2,27,2,0.3,
144,Congo,22,+3,2,+2,,20,,4,0.4
145,Cayman Islands,22,+8,1,,,21,,335,15
146,Saint Martin,22,+1,1,,2,19,,569,26
147,Bahamas,21,+7,1,+1,1,19,,53,3
148,Tanzania,20,+1,1,,1,18,,0.3,0.02
149,Guyana,19,+7,3,+1,,16,,24,4
150,Maldives,19,+1,,,13,6,,35,
151,Gabon,18,+2,1,,,17,,8,0.4
152,Myanmar,16,+1,1,,,15,,0.3,0.02
153,Sint Maarten,16,+10,1,+1,6,9,,373,23
154,Haiti,16,+1,,,1,15,,1,
155,New Caledonia,16,,,,1,15,,56,
156,Equatorial Guinea,15,,,,1,14,,11,
157,Eritrea,15,,,,,15,,4,
158,Mongolia,14,+2,,,2,12,,4,
159,Namibia,14,+3,,,2,12,,6,
160,Benin,13,+4,,,1,12,,1,
161,Saint Lucia,13,,,,1,12,,71,
162,Dominica,12,,,,,12,,167,
163,Curaçao,11,,1,,3,7,,67,6
164,Syria,10,,2,,,8,,0.6,0.1
165,Greenland,10,,,,2,8,,176,
166,Laos,10,+1,,,,10,,1,
167,Libya,10,,,,,10,,1,
168,Mozambique,10,+2,,,,10,,0.3,
169,Seychelles,10,,,,,10,,102,
170,Suriname,10,+1,,,,10,,17,
171,MS Zaandam,9,+7,2,+2,,7,,,
172,Grenada,9,,,,,9,,80,
173,Guinea-Bissau,9,+1,,,,9,,5,
174,Eswatini,9,,,,,9,,8,
175,Angola,8,+1,2,,1,5,,0.2,0.06
176,Zimbabwe,8,,1,,,7,,0.5,0.07
177,Saint Kitts and Nevis,8,,,,,8,,150,
178,Sudan,7,,2,,2,3,,0.2,0.05
179,Antigua and Barbuda,7,,,,,7,,71,
180,Chad,7,,,,,7,,0.4,
181,Cabo Verde,6,,1,,,5,,11,2
182,Mauritania,6,,1,,2,3,,1,0.2
183,Vatican City,6,,,,,6,,"7,491",
184,Liberia,6,+3,,,,6,,1,
185,St. Barth,6,,,,1,5,,607,
186,Turks and Caicos,6,+1,,,,6,,155,
187,Nicaragua,5,,1,,,4,,0.8,0.2
188,Nepal,5,,,,1,4,,0.2,
189,Fiji,5,,,,,5,,6,
190,Montserrat,5,,,,,5,,"1,002",
191,Somalia,5,,,,1,4,,0.3,
192,Botswana,4,,1,,,3,,2,0.4
193,Gambia,4,,1,,2,1,,2,0.4
194,Bhutan,4,,,,,4,,5,
195,Belize,3,,,,,3,,8,
196,British Virgin Islands,3,,,,,3,,99,
197,CAR,3,,,,,3,,0.6,
198,Anguilla,2,,,,,2,,133,
199,Burundi,2,,,,,2,,0.2,
200,Caribbean Netherlands,2,+2,,,,2,,76,
201,St. Vincent Grenadines,2,+1,,,1,1,,18,
202,Sierra Leone,2,+1,,,,2,,0.3,
203,Papua New Guinea,1,,,,,1,,0.1,
204,Timor-Leste,1,,,,,1,,0.8,
205,Total:,"935,197","+76,836","47,192","+4,883","193,989","694,016","35,478",120.0,6.1
